id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,duration,return_code
0,0000,0000,,,,,,,0.003315,02d2
1,0000,0000,,,,,,,0.003294,02d2
2,0000,0000,,,,,,,0.003083,02d2
3,0000,0000,,,,,,,0.002973,02d2
4,0000,0000,,,,,,,0.002997,02d2
5,0000,0000,,,,,,,0.003066,02d2
6,0000,0000,,,,,,,0.003085,02d2
7,0000,0000,,,,,,,0.003324,02d2
8,0000,0000,,,,,,,0.003391,02d2
9,0000,0000,,,,,,,0.003050,02d2
10,0000,0000,,,,,,,0.002962,02d2
11,0000,0000,,,,,,,0.002978,02d2
12,0000,0000,,,,,,,0.003011,02d2
13,0000,0000,,,,,,,0.002967,02d2
14,0000,0000,,,,,,,0.002969,02d2
15,0000,0000,,,,,,,0.002999,02d2
16,0000,0000,,,,,,,0.002992,02d2
17,0000,0000,,,,,,,0.002979,02d2
18,0000,0000,,,,,,,0.003003,02d2
19,0000,0000,,,,,,,0.003307,02d2
20,0000,0000,,,,,,,0.003309,02d2
21,0000,0000,,,,,,,0.003246,02d2
22,0000,0000,,,,,,,0.002986,02d2
23,0000,0000,,,,,,,0.002973,02d2
24,0000,0000,,,,,,,0.002985,02d2
25,0000,0000,,,,,,,0.002994,02d2
26,0000,0000,,,,,,,0.002962,02d2
27,0000,0000,,,,,,,0.002971,02d2
28,0000,0000,,,,,,,0.002993,02d2
29,0000,0000,,,,,,,0.002982,02d2
30,0000,0000,,,,,,,0.003033,02d2
31,0000,0000,,,,,,,0.002964,02d2
32,0000,0000,,,,,,,0.002982,02d2
33,0000,0000,,,,,,,0.002988,02d2
34,0000,0000,,,,,,,0.003010,02d2
35,0000,0000,,,,,,,0.003015,02d2
36,0000,0000,,,,,,,0.002966,02d2
37,0000,0000,,,,,,,0.002946,02d2
38,0000,0000,,,,,,,0.002993,02d2
39,0000,0000,,,,,,,0.002995,02d2
40,0000,0000,,,,,,,0.003594,02d2
41,0000,0000,,,,,,,0.003234,02d2
42,0000,0000,,,,,,,0.003144,02d2
43,0000,0000,,,,,,,0.002995,02d2
44,0000,0000,,,,,,,0.003128,02d2
45,0000,0000,,,,,,,0.002874,02d2
46,0000,0000,,,,,,,0.002986,02d2
47,0000,0000,,,,,,,0.003062,02d2
48,0000,0000,,,,,,,0.003068,02d2
49,0000,0000,,,,,,,0.002987,02d2
50,0000,0000,,,,,,,0.002884,02d2
51,0000,0000,,,,,,,0.003030,02d2
52,0000,0000,,,,,,,0.003039,02d2
53,0000,0000,,,,,,,0.003012,02d2
54,0000,0000,,,,,,,0.002986,02d2
55,0000,0000,,,,,,,0.002997,02d2
56,0000,0000,,,,,,,0.002944,02d2
57,0000,0000,,,,,,,0.002972,02d2
58,0000,0000,,,,,,,0.002953,02d2
59,0000,0000,,,,,,,0.003117,02d2
60,0000,0000,,,,,,,0.002904,02d2
61,0000,0000,,,,,,,0.003081,02d2
62,0000,0000,,,,,,,0.002921,02d2
63,0000,0000,,,,,,,0.002990,02d2
64,0000,0000,,,,,,,0.003072,02d2
65,0000,0000,,,,,,,0.002986,02d2
66,0000,0000,,,,,,,0.003002,02d2
67,0000,0000,,,,,,,0.002912,02d2
68,0000,0000,,,,,,,0.003002,02d2
69,0000,0000,,,,,,,0.003075,02d2
70,0000,0000,,,,,,,0.002993,02d2
71,0000,0000,,,,,,,0.002987,02d2
72,0000,0000,,,,,,,0.002997,02d2
73,0000,0000,,,,,,,0.002943,02d2
74,0000,0000,,,,,,,0.002929,02d2
75,0000,0000,,,,,,,0.003035,02d2
76,0000,0000,,,,,,,0.003074,02d2
77,0000,0000,,,,,,,0.002993,02d2
78,0000,0000,,,,,,,0.002865,02d2
79,0000,0000,,,,,,,0.003008,02d2
80,0000,0000,,,,,,,0.002986,02d2
81,0000,0000,,,,,,,0.003124,02d2
82,0000,0000,,,,,,,0.003003,02d2
83,0000,0000,,,,,,,0.002982,02d2
84,0000,0000,,,,,,,0.002915,02d2
85,0000,0000,,,,,,,0.002998,02d2
86,0000,0000,,,,,,,0.003082,02d2
87,0000,0000,,,,,,,0.002995,02d2
88,0000,0000,,,,,,,0.002995,02d2
89,0000,0000,,,,,,,0.002943,02d2
90,0000,0000,,,,,,,0.002983,02d2
91,0000,0000,,,,,,,0.002948,02d2
92,0000,0000,,,,,,,0.003088,02d2
93,0000,0000,,,,,,,0.002909,02d2
94,0000,0000,,,,,,,0.003001,02d2
95,0000,0000,,,,,,,0.002998,02d2
96,0000,0000,,,,,,,0.002991,02d2
97,0000,0000,,,,,,,0.003081,02d2
98,0000,0000,,,,,,,0.003001,02d2
99,0000,0000,,,,,,,0.002988,02d2
