id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,duration,return_code,nonce
0,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,a27229c69347841e1c5d2569cec32f0a34279a7259bb7abe53527c173dcf4040,27639696ff6f5562d2ac71d5518df493eecfe94d039818d6a2d637dd4ce55b21,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047260,0000,5fa2f7e61226b153c87728ef5783a8163dbb844dfb416ac221810dc476078d0a
1,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,9ada2e2838334c1cf1a7ae795c56f7409e54ebf3b5c4251a8b9b3f20c241e799,70b6870533074f88de189724d3943dc4595123f83d977265991abcd8bd8ce705,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047969,0000,fe39d45655211f44a65046e68fd7fb05539f8b94db22c782a710c0177194f937
2,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,ed66dede5f2f4761c54aee67d6391e38e229a57c6e6e8c13d336176433e767e7,800158bbf638ed27abb5cb88c8d39590c2ef6002e083f6ca900687e4b13ac3a8,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047923,0000,a1d51bd980fe19981636f2fbd24dcae5ad964c9f8440b797726b96ea129dc25e
3,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,ef2be67a4447c8498f1c65a005b19957c2aeeda824404e9b1852522fb50d48b3,2dbe7ecfd3c3e0233bba5348dca685bb3d6248c8f73fbdc63df7cb98cba91dc8,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047940,0000,d5fa2b5182dc5e97ef703b62b40b19c45cc2f980d04919fde6e44285e1a9d68d
4,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,f4be6bb386a9d9d38d6b0ead5e80a4c16c14efea57c97348913c03b97b753372,9d0246b576e56e0310fd29fffad548d53b39948844ac0c9ab31e585efec0e2db,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.048003,0000,87986dbf33e78931144aa16356a31bc59c850149a44992358f82b31d059fa59
5,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,c2ae96013e350f0e9ca4c1ede2ff41965443a5b239819bfd3986c630071754cf,36017bb53c7cec422e9eb88d44785aeacfe44691fe9b8025402698e2546f3f72,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047969,0000,78a67bfd3b59a9dad32a9933d9f3bb68979df5ca92b85899c420d51ab596c7ec
6,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,808ef44df2dbc35b1e77d90ac8cf6525412c5eff3181bd24adf8401f1459fbd9,ce65e719b53b39a2ae13ad9d0a92712c0aab6c590bc6127dfa680b82f0ddf34f,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047932,0000,30e7329b87403c7e1aaa61f16598690db6858844c33eb8e89f1b1fea63f2e448
7,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,d3729b65ea08cb0ee94d4aa1a8550186fac3a2e1a81cf4ef01b38f2165410e80,92e5db2ff3a225b4d3cb1b4c61113a30098387d43c0acafd876ab242ca021d30,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047264,0000,cdd633584ea88f08b3a67a849361ec106d1d8421b4d57d937ca559874f07b791
8,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,3b8f0afdd8a2da2821915942d68d10a3c4c8bce9381d83d811dc5063e78e168b,f5e90a8021d22bed0a6046e34ac0581338bac2d0568eb54fddb1901781d1356d,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.048086,0000,1cedafcc31a9a6d8ae3b29b356621f8113960f51b07a2afe7b5231d55fd6bd7a
9,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,071c830405679231d15a67c51130b4abf50d4d20eee702298fdffb2c7b8be8f0,ba84d6380e420c82c73f1aec3d7f65281a9ecb1a2aa420c6bb5d312820117b4a,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.048110,0000,cee97d3acf2352277a49ffb7d7370a89b10a2d2b3cce863c64a3daa34da3f8ef
10,0018,0010,0000000000000000000000000000000000000000000000000000000000000000,4a1d5f5a0a7b4fd6a8b7329c7c34479ffa41cb3a205ea88b71787351ff9b10a4,6b5b69f1ef4b3101a3baad579bb0c846cab93499d357be7abffcd8e2f2c3479c,db13f8b90405c210b63f7eb9aa67d44ec7559d47e5b20e17e7102f76e5ed6266,3740f1baf4c6a70ff64c0e3bcfd56c5f79284b3c96357662887c001424906fbc,cd0e487cc314585715a86c59e908e41c118ffbfac37f8f725ed5cc280d3b6e73,0.047122,0000,ba059a7ae75ae91d84a9fb7ef0be13586e8f0465ac2a8704a6ee83e46ea6ee3
