id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,duration,return_code,nonce
0,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,40b3a72fba6bac9394b601a085706cee3d98551e982d908719a2d2aa2d7402eb,efaa49c60cc0508c5df2c270d3a565dc3dc85ec5601ce52b74e198d4e2115503,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054146,0000,caaaaa3c60450210f108b4b63865b03a9b650fc7dfeaa035801f9e6e65f13118
1,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,a2c257fdee6a39b0746186e45a032875f4c7b96544c601ff601f529cc0f8cb98,62d8479faea533fc4d444291b50d79657c9e01aad0919c47bde205a9be13ca83,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054341,0000,820dc9170aeca59dc7ce87e6cdb86766dac458a1a7c792e7ceae2881db5ec7a2
2,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,b38ded3a33c87295c01f6b71b7e95174c00fc04a0759dfc188a78e659e1ad695,c2a06cd8b31d8b31fee855f5c2753185d15af96405c0ed131f65d805ecdf5acd,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054213,0000,fe9bd9bb54929163f9f48576395a780d5aa28a16f2f2b2b152beb0539487e31d
3,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,8430c9fd1e71a0c0b218b9bcbe25dfeb8878a9d9532809017309a507d75a9949,12f62f197afeba9642d25adabf65af1c088f49d94144df17159d17673117aaa8,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053353,0000,a37edc4e404830ffe036586824a1f16a1915cb07963be56fa1164141bdd63cb5
4,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,1db64620fbf85a2240b8aed0a7894ff1718ce29e6707cbd7d1e9858f63f9d681,71daf9f0bd84b8d3a1f135ae5fd1a4c15aa9f0505357204910619bc07c8d9be2,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053315,0000,b2f4c2026ccea51898ab35192f923453918085df2a2c8c2c0e8653acd21d6be2
5,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,c2161281a874b793964242dcf3dcddfbf338b184db219706b1988e0fcdb35c36,835f35217113de7fd81088d18672b70e6983af652a4a74ee0ea7f6daf35b545f,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054342,0000,99b53908a7aeeee7e05a4e9a514f8cc8282ebd399a1d6e6cc80094e2cd24999
6,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,d25475744a53c9c6b60c0e0e59ad1e144f347c9a57d4723ec67159c6d1c76d3c,e7a088e0293127749fc1eeecaf6f73f6e7c96e0fc3f05f00c6588f456d774c7d,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053218,0000,fe825816e69a58987c0dde607af9b806d60e9f9f676dd762d1247716c54b4ef3
7,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,f9b585e793a59ef3d22054bf53528dbda83d760a4b8eb8e60fa02136a09154bb,a835a74956c89386529e475b0cd513eb8d51a5b30b5c9dc64129ae6e810b84ad,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053922,0000,9e9c1265bf8e2329c48546e88e9e3e9891e19f3075aa88aaa57d3d82a99ab5aa
8,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,990dcc2cb6927bd15e030c5d5719e5e00982990fce652edcccb856eb48aa295f,f694622e9cd00f52bb11299675d8ae448f13bd3a966236a05fbb01ddb25bed02,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053975,0000,7ace7b797fac916d29ea79d61dc5916524f90a55ac8265c7b7dfc9ab0fe62640
9,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,ed85924227049211f3e50bef306e9a76cc98a97c2468d1e004a1cc47ed71ad54,15cc845a4baca0c16e281f65c0da5cca55cae62655a151474724fa4426c5cf49,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053936,0000,fd5637976f6cf028bf6e1ca1b2b11faed4c0a936e2045d97806b2855c2157b46
10,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,7db590823749b71071161381a360acca1584412c55b091eec9b92ff3a1be53ca,d6c832256d4daa07f062d35dbce66a8e3569a06a0eea885e5739cd10ca68e74d,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054063,0000,b1b8d20cb9e1a27c7de221fb6bbd21a8ae0541b8715f48b241b230f34d8fca54
11,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,01456203108b790524f7fe524ae5bf28f764fbbf2164c25edf3d3fd4a13cd5c6,096d03ba75977cabef22652ad1207c0c9d83bcb0677f8ebf4502c20a9e6a818d,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053878,0000,9045c406da0a40eb72d9be4ab511b00b31ea3010a80d4f1e4c2b363740f136d7
12,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,d42da02a88991718badc09e04d1ca40a4cabb775763c3e0a53adde96fd4786bd,ad4993e01779c41c01ac53cbed558256256a0cfcb18bc2a39c593aa7da5a92c5,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053881,0000,da8e3b8e2240f188da4d441446ef7f65c3316efbe7cec93fd1af115ae372fc75
13,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,8dd601d10d797e99c83506a42f49f10a380069c0d0f850dc12a680c7543ced16,3c214a47713b25613d59a485c6e1c879667acde6379b8127213551e330e046ff,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053991,0000,54f8ebbabc6a1043697092326e469f7256d89b0fe3a1d400b98125fb7c797e0f
14,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,9fff9dcb660bb8f1a8fe7a850adcacf755b3652bc2857e4b1dbf80b9394be330,2b2f6d1144d77342585f0536a51cb444772ed7952977cb2fcc4ae565f555ae7b,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054230,0000,c6e4f90a36e028d2cdf04cf65edd9d323792f657dc6f91e67f38b396e6c7fede
15,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,42be6bd95a2eead78e268fc691c897faabfd775717c50f8d6ab21af008c6fd98,79400c5ad6be0c154d18c56bfaa4d485fa06a5461491de4a866bb79c6eb7c0e8,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.054040,0000,d883e8d6e93a423e8e17b1a627521c4aa520e3e359d45e6becf3c37121a2737e
16,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,aafab04f1724fc60d36f1273ddd7b1bbf3da2e7bbab41fe9e09630386fb74f1f,9c602f57d77fec2d3a92203e4d5e26a9f5f4ab964e988e436c051a7c487faa09,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053442,0000,ef605b860f9b4d2b73fb5982cce8cc743fe3ab99a29a7f555f38bbbd530ebf75
17,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,10439a080b29c737872a06dc476f075fa96d7e8a3bc04f9c654e937e1c54dd95,0ed0a9f9eba416050a1adb42ed92cea677b25633139091906cebd2b01bbd832d,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053882,0000,6867c2dbfa16ac645c3665a475857d0198cc3ee00efba10410e051b1a86b011e
18,001c,0003,0000000000000000000000000000000000000000000000000000000000000000,c2ab500ec552cffd42a2f898d82eede697b006d5e6594cb046e29cc6edfa6f43,d9107ae1356766fd14d728d4d8fe6ab89282be1e34b9fba63125b3e3b0cc2da1,d07b8e77731e44cdefd29d9417158efe9cc0e8aa15a37ffc007b78d74cc2af6f,77b87e56851b1ebfed3096fc00b309944faa66cd6a6ec7e3c92cdb77723971b3,43ae640b92855cb36a892549a3e055ea8db71535d3f8b2f0a1d7cf37ff426646,0.053524,0000,60b56550fdb533e26ebd6fed9bc95712da28297911d87ca46b736713e69cf234
