bytes_number,data,duration,return_code
32,80a6ddb68e778bd8bf632c6102a3efc33579f1f0d5d46121da6256e6023802f5,0.005959,0000
32,3a28de0d6387ef7686b44693189f2fa149ac7648dc8d300c50ce53d16df9d662,0.005163,0000
32,d1b57179f0b03397784676d51934d8f0e11ed2928151957506403587a5d9de6b,0.005014,0000
32,ee7a2004c95236d3fff55def34a069c91ea9e33b6c2f0292bc0c74b612b14384,0.004987,0000
32,1ed34eccfcc22ea60c5b0e8e2a38f32620d04dc1135a2db0c9377cf53bca5acc,0.005882,0000
32,5cf46dd3c9c6046f48fd35e0a8ddb1044f0e6b566a18963d9dc6240d2828bf55,0.006034,0000
32,5c81439c12f1a9623efdd2f4364adbb0e8403c352ccfbe4711e4c67e81cdd472,0.005931,0000
32,967878b68dad0ae2e85b02fa1e1f260f37b95e93899fd16451c1c49671b23e5d,0.004982,0000
32,02b6424dbfa4e39732ff92ac899793fffad6188382fe6577b25259ad08590bd3,0.006026,0000
32,a9036a9ce9557e74b534d33d3ce2117ea899233adb4de0d809e110c2d89a15e6,0.004983,0000
32,04502281ea820e35cfc2db6837f0248184e10741bf4aae9e59417ca9e60b5bc0,0.004962,0000
32,d500c3369614e98a45fb7c30e638f68404d318fd0548b3e190e590a4b1e7e9fe,0.005022,0000
32,03a2929735dd0bf753ff10e308e59baa6244a4c112ac58ea438996b72f2c6e54,0.005959,0000
32,e1a0b3d3889353d5bcffe369b13cf4dcc941dd193a407ac43271c3c9ae83f5e9,0.004975,0000
32,82bf648040fff22e954f2e04cfcd4e329b8b5e9dab2865eac04aed7cee1a44c0,0.005995,0000
32,4e59337a9b8e9e882895927526d0d47088d903dd2e236bc13b9313321ea5f390,0.005003,0000
32,14326c3d8305d1bac6b401d54813b6f1cebf2683ff2b63526255aee3d7f9d4a7,0.004993,0000
32,e3c34fbe3eeac965f657000cae5eb927a4c5ca7a49b7abd5a291b96afd04e9e5,0.005960,0000
32,b5ac84f286e2c0db9f57c118eec21b895c6b6de85a35a01cda4491c6e514323c,0.005989,0000
32,08783cdee14e05bc918dcea8d836a9616a34fd09531fe13a91898194c7146210,0.004985,0000
32,9d42aad374ac50fe28d4198e100b261eefeab58951257eed77b474c69d880853,0.005107,0000
32,a836f01d9b704348f2c4de1fe5130d845b8f5904603c4f4424ef893ea81961a1,0.004985,0000
32,56bd26c00cd7ffa16fdc546d62769139897206eb10c338e82fc65d6e4ddc5e37,0.004846,0000
32,2b98d522cf4b74fccdd61f26954d0c1fcb6f0d2ff3a9e633d9ac436b09c9067c,0.005985,0000
32,bb68b9e796cbf8e83ea1f35952f902dc7019a6307e71d2d00430830e25f96f25,0.004988,0000
32,49f76aa3a923c09d2a2d6b38fae9650203dd36058127e3b516d3ab123a7155d9,0.004974,0000
32,edd3a51a3e8f8401917a13eeaf25f00df9a4c8e02dca2d1cb34cedac8db72c33,0.004982,0000
32,aaa127ae16b441697ac604444d4f10df7d0d6df2ee89c2dc0ef7f6e44118f20b,0.005005,0000
32,7cb5255de2ccfac88d8e35190ac36d33125b02dd86e16adfb162b5aa84e00f27,0.004983,0000
32,49feea3fa80469a6625bb7721bded717b6473dec8a028045fedf1d42d1330cc2,0.004968,0000
32,ddc4c484288a519a8bfd281c101d3467dd95ecd62fa581f52f61d4c2af6472b6,0.005015,0000
32,94a54ff8a934dd905718e3e3c15e8f562b8759ac6c27f0b45ba534899d9a4ae1,0.004989,0000
32,40b82bfbf16b7b959ce1c44b29b50d30391d9e3ac76fa065ded454cdfd975cc6,0.004967,0000
32,fd9a2c337c96c6338385fb62d847637759effb237e2a0de6c012881eb07f2b07,0.004990,0000
32,febd1f6a183845b97b814f0e6027e6ca1cae51185cbb5681e93ce74ded34dc5e,0.005012,0000
32,cac3b08f4d2f3b8fe41d380f5d16ebfdd7573170ffad7a7dd3c6637caaccef6d,0.004975,0000
32,8ade932868463390c0d0fb45875711db3f69fbb3f0457774b75979fe6c2ff46e,0.004964,0000
32,8db643064ac48e93275f9553f3be32db2ef719c6c7b946a90a2cb609a4053d3e,0.004971,0000
